Title,Date,Category,Location,URL
Offene Bewegungsangebote: Yoga,2026-06-23,Marburg express featured,Nachbarschaftszentrum Waldtal,no url provided
Offene Bewegungsangebote: Tai Chi/ Qi Gong,2026-06-23,Marburg express featured,Auf der Weide,no url provided
Marburg bei Wein&#038;Brot,2026-06-23,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Offene Bewegungsangebote: Gesundes Laufen,2026-06-23,Marburg express featured,Universitätsstadion,no url provided
ASHES,2026-06-23,Marburg express featured,Waggonhalle,no url provided
„Kein Kaffee für Nazis…“,2026-06-24,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Die Kunstkoffer kommen!,2026-06-24,Marburg express featured,Rudolphsplatz,no url provided
Kuscheltiere Häkeln,2026-06-24,Marburg express featured,Liesbeth&CO,no url provided
Offene Bewegungsangebote: Herz-Kreislauf-Training,2026-06-24,Marburg express featured,"Lahnwiesen, Höhe Affenfelsen",no url provided
ADFC-Feierabend-Tour rund um Marburg,2026-06-24,Marburg express featured,Treffpunkt: Erwin-Piscator-Haus,no url provided
Mixed-Media Malkurs,2026-06-24,Marburg express featured,Atelier im historischen Schwanhof,no url provided
MittwochsTanzParty,2026-06-24,Marburg express featured,KFZ,no url provided
Tenebrae: Celestial Gift,2026-06-24,Marburg express featured,Elisabethkirche,no url provided
Impro-Battle,2026-06-24,Marburg express featured,Waggonhalle,no url provided
Tanzen mit Christel Macik,2026-06-25,Marburg express featured,Begegnungszentrum,no url provided
"Make War, not Walk!",2026-06-25,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Demokratie(?) Spaziergang,2026-06-25,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Kunst in Marburg: Werkstatt Radenhausen,2026-06-25,Marburg express featured,Marburger Kunstverein,no url provided
44. Philosophischer Stammtisch,2026-06-25,Marburg express featured,Cafe Trauma,no url provided
Offene Bewegungsangebote: Bewegtes Trommeln,2026-06-25,Marburg express featured,August-Bebel-Platz,no url provided
Tänze der Völker &#8211; mit Tanzen um die Welt,2026-06-25,Marburg express featured,Begegnungszentrum,no url provided
Einführung in die buddhistische Meditationspraxis,2026-06-25,Marburg express featured,Biegenstraße 20,no url provided
Conversations in Jazz,2026-06-25,Marburg express featured,Waggonhalle,no url provided
Anastacia,2026-06-25,Marburg express featured,Butzbach Schlosshof,no url provided
Dirty Sound Magnet &#8211; New Album Tour 2026,2026-06-25,Marburg express featured,KFZ,no url provided
kreuz und quer &#8211; denken in Marburg,2026-06-26,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Kunst in Marburg: Werkstatt Radenhausen,2026-06-26,Marburg express featured,Marburger Kunstverein,no url provided
Pop-Up-Trauung „Einfach heiraten“,2026-06-26,Marburg express featured,Seepark Niederweimar,no url provided
Einfach Heiraten,2026-06-26,Marburg express featured,Christenberg,no url provided
Aktionstag mit dem Bewegungsbus,2026-06-26,Marburg express featured,Christa-Czempiel-Platz,no url provided
Geht flanieren nur in Paris oder ginge es auch in Marburg?,2026-06-26,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Offene Bewegungsangebote: Zumba,2026-06-26,Marburg express featured,Sophie-von-Brabant-Schule,no url provided
"LOK SUNSET: SUNDOWN DINNER MIT TAPAS, DRINKS &#038; CHILLOUT MUSIC",2026-06-26,Marburg express featured,Lokschuppen,no url provided
"Kaufleute, Freibeuter und Piraten &#8211; die Hugenotten auf den Weltmeeren",2026-06-26,Marburg express featured,Marburger Gartencenter,no url provided
Giovanni Zarrella,2026-06-26,Marburg express featured,Butzbach Schlosshof,no url provided
Nell’anima – Italian Soul Meets Jazz,2026-06-26,Marburg express featured,Waggonhalle,no url provided
Literaturfrühling 2026,2026-06-26,Marburg express featured,Kulturscheune Michelbach,no url provided
GIOVANNI ZARRELLA &#8211; Eine italienische Sommernacht,2026-06-26,Marburg express featured,"Landgrafenschloss, Schlosshof",no url provided
Holmes &#038; Die Liga der Rothaarigen,2026-06-26,Marburg express featured,TurmPavillon/Waldbühne,no url provided
Die Nachtwächtertour,2026-06-26,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Flohmarkt,2026-06-27,Marburg express featured,Waggonhallengelände,no url provided
Lahnwiesen parkrun,2026-06-27,Marburg express featured,Bolzplatz Lahnwiesen Ecke Dörfflerstraße,no url provided
Welt in mir entdecken – Welt aus mir erschaffen,2026-06-27,Marburg express featured,Fast Forward Theatre Seminarraum,no url provided
Aktionstag mit dem Bewegungsbus,2026-06-27,Marburg express featured,Christa-Czempiel-Platz,no url provided
Einfach Heiraten,2026-06-27,Marburg express featured,Christenberg,no url provided
"Marburger Geschichten: Glaube, Liebe, Zoff – Marburg zur Zeit der Reformation",2026-06-27,Marburg express featured,Bering-Brunnen,no url provided
„Wir formen das Glück &#8211; eine besondere Begegnung mit Ton“,2026-06-27,Marburg express featured,HOF 1 Unterrosphe,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-06-27,Marburg express featured,Bad Endbach,no url provided
Ich zeige dir meine (Ober)Stadt,2026-06-27,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Offene Bewegungsangebote: Waldbaden,2026-06-27,Marburg express featured,Grillplatz Runder Baum,no url provided
„Le jeu de l&#8217;amour et du hasard“,2026-06-27,Marburg express featured,Institutgebäude am Renthof 6,no url provided
Vetter&#038;Friends Nr.1 &#8211; Grill&#038;Chill,2026-06-27,Marburg express featured,Café Vetter,no url provided
Jethro Tull,2026-06-27,Marburg express featured,Butzbach Schlosshof,no url provided
Team Robin Hood,2026-06-27,Marburg express featured,Schlossparkbühne,no url provided
Black Dog Groove Society &#8211; Jazz in der Totenkirche,2026-06-27,Marburg express featured,Totenkirche Treysa,no url provided
"4. Springsteen OpenAir, Tribute Night",2026-06-27,Marburg express featured,Sportgelände FSV Schröck,no url provided
Picknick-Gottesdienst „Fresh – frei – gesegnet“,2026-06-28,Marburg express featured,Treffpunkt: Platz der Umweltpiraten (auf Höhe des Autohauses Laucht,no url provided
Taufen unter freiem Himmel,2026-06-28,Marburg express featured,Cölber Mühle,no url provided
Pique-Nique,2026-06-28,Marburg express featured,BSF,no url provided
"Marburger Geschichten: Glaube, Liebe, Zoff – Marburg zur Zeit der Reformation",2026-06-28,Marburg express featured,Bering-Brunnen,no url provided
"Form to feel, space to be",2026-06-28,Marburg express featured,Schlosspatrioten Homberg an der Ohm e.V.,no url provided
"Lesung, Jazz &#038; Gespräch mit Büchner-Autor Wigbert Tocha",2026-06-28,Marburg express featured,Buchhandlung Jakobi,no url provided
Wald fühlen gehen,2026-06-28,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Gregor Meyle und Sophia,2026-06-28,Marburg express featured,Butzbach Schlosshof,no url provided
Santana-Sound,2026-06-28,Marburg express featured,Waggonhalle,no url provided
BalFolk: La Mézanj,2026-06-28,Marburg express featured,KFZ,no url provided
StraßenGriechisch für Anfänger,2026-06-29,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Tipping the Balance of the International Order?,2026-06-29,Marburg express featured,Seminargebäude,no url provided
"Auf die Bühne, fertig, los!",2026-06-29,Marburg express featured,Waggonhalle Alte Kantine,no url provided
Schwule Theke,2026-06-29,Marburg express featured,KFZ,no url provided
Und wo kommst du eigentlich her? -Spaziergang,2026-06-30,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
(Ober)Stadt lesen gehen,2026-06-30,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Spieleabend: BrettvormKopf,2026-06-30,Marburg express featured,Cafe Trauma,no url provided
Die Kunstkoffer kommen!,2026-07-01,Marburg express featured,Rudolphsplatz,no url provided
Tanzen mit Christel Macik,2026-07-02,Marburg express featured,Begegnungszentrum,no url provided
Mixed-Media Malkurs,2026-07-02,Marburg express featured,Elisabeth Therapeutikum,no url provided
Einführung in die buddhistische Meditationspraxis,2026-07-02,Marburg express featured,Biegenstraße 20,no url provided
ROOTS &#8211; Eine Suche nach Wurzeln,2026-07-02,Marburg express featured,Waggonhalle,no url provided
Doing Audio-Visual Media XVI,2026-07-03,Marburg express featured,Institut für Medienwissenschaft,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-07-03,Marburg express featured,Bad Endbach,no url provided
Die Altstadt mit Schlossbrunnen,2026-07-03,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
ROOTS &#8211; Eine Suche nach Wurzeln,2026-07-03,Marburg express featured,Waggonhalle,no url provided
Die Nachtwächtertour,2026-07-03,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Ketzerbachfest 2026,2026-07-04,Marburg express featured,Ketzerbach,no url provided
Marburger Romantik,2026-07-04,Marburg express featured,Treffpunkt: Rathaus,no url provided
Red Booze,2026-07-04,Marburg express featured,TurmPavillon/Waldbühne,no url provided
Antik &#038; Trödel,2026-07-05,Marburg express featured,Messe Giessen,no url provided
Open Sunday,2026-07-05,Marburg express featured,Großsporthalle Richtsberg-Gesamtschule,no url provided
Die Stille Seite von Sylt,2026-07-05,Marburg express featured,Schlosspatrioten Homberg an der Ohm e.V.,no url provided
Lindy Hop und Swingtanz,2026-07-06,Marburg express featured,Alte Mensa,no url provided
Coaching Tag &#8211; mit Pferd Thema: Wie meine Haltung das Miteinander verändert.,2026-07-07,Marburg express featured,Haus Sonneck,no url provided
Hunger mit Menschenrechten bekämpfen!,2026-07-07,Marburg express featured,Weltladen Marburg,no url provided
Die Kunstkoffer kommen!,2026-07-08,Marburg express featured,Rudolphsplatz,no url provided
ADFC-Feierabend-Tour rund um Marburg,2026-07-08,Marburg express featured,Treffpunkt: Erwin-Piscator-Haus,no url provided
Mixed-Media Malkurs,2026-07-08,Marburg express featured,Atelier im historischen Schwanhof,no url provided
Die Nachtwächtertour,2026-07-10,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Offene Bewegungsangebote: Rückenschule,2026-07-11,Marburg express featured,Georg-Gaßmann-Stadion,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-07-11,Marburg express featured,Bad Endbach,no url provided
Das Marktweib Trude,2026-07-11,Marburg express featured,Treffpunkt: Heumarkt unter der Linde,no url provided
"Move your Mind: Führung, Wanderung und Fahrradtour",2026-07-11,Marburg express featured,Naturcoaching Hessen,no url provided
foodsharing Café,2026-07-12,Marburg express featured,MaZe Marburg,no url provided
„The stories so far“,2026-07-12,Marburg express featured,Kunstturm Mücke,no url provided
Die Stille Seite von Sylt,2026-07-12,Marburg express featured,Schlosspatrioten Homberg an der Ohm e.V.,no url provided
Mutter-Tochter-Pferd (7-10 J.),2026-07-14,Marburg express featured,Haus Sonneck,no url provided
Spieleabend: BrettvormKopf,2026-07-14,Marburg express featured,Cafe Trauma,no url provided
Die Kunstkoffer kommen!,2026-07-15,Marburg express featured,Rudolphsplatz,no url provided
Mutter-Tochter-Pferd (11-13 J.),2026-07-16,Marburg express featured,Haus Sonneck,no url provided
Marburg bei Wein&#038;Brot,2026-07-16,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Critical Mass,2026-07-16,Marburg express featured,Firmaneiplatz,no url provided
45. Philosphischer Stammtisch,2026-07-16,Marburg express featured,Cafe Trauma,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-07-17,Marburg express featured,Bad Endbach,no url provided
Die Altstadt mit Schlossbrunnen,2026-07-17,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Die Stille Seite von Sylt,2026-07-19,Marburg express featured,Schlosspatrioten Homberg an der Ohm e.V.,no url provided
ALTE BEKANNTE,2026-07-19,Marburg express featured,Schlossparkbühne,no url provided
Die Kunstkoffer kommen!,2026-07-22,Marburg express featured,Rudolphsplatz,no url provided
ADFC-Feierabend-Tour rund um Marburg,2026-07-22,Marburg express featured,Treffpunkt: Erwin-Piscator-Haus,no url provided
"LOK SUNSET: SUNDOWN DINNER MIT TAPAS, DRINKS &#038; CHILLOUT MUSIC",2026-07-24,Marburg express featured,Lokschuppen,no url provided
Die Nachtwächtertour,2026-07-24,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-07-25,Marburg express featured,Bad Endbach,no url provided
Die Rastlose Gräfin Barbara,2026-07-26,Marburg express featured,Treffpunkt: An der Schlossmauer,no url provided
Die Stille Seite von Sylt,2026-07-26,Marburg express featured,Schlosspatrioten Homberg an der Ohm e.V.,no url provided
Landsynagoge Roth,2026-07-26,Marburg express featured,Landsynagoge Roth,no url provided
Die Kunstkoffer kommen!,2026-07-29,Marburg express featured,Rudolphsplatz,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-07-31,Marburg express featured,Bad Endbach,no url provided
Kulinarischer Abend,2026-08-01,Marburg express featured,Daniels Café,no url provided
Antik &#038; Trödel,2026-08-02,Marburg express featured,Messe Giessen,no url provided
Die Welt der Grafik und Malerei,2026-08-03,Marburg express featured,Kunstwerkstatt Marburg e.V.,no url provided
Lindy Hop und Swingtanz,2026-08-03,Marburg express featured,Alte Mensa,no url provided
Die Welt der Grafik und Malerei,2026-08-04,Marburg express featured,Kunstwerkstatt Marburg e.V.,no url provided
Spieleabend: Command Tower,2026-08-04,Marburg express featured,Cafe Trauma,no url provided
Die Welt der Grafik und Malerei,2026-08-05,Marburg express featured,Kunstwerkstatt Marburg e.V.,no url provided
Die Kunstkoffer kommen!,2026-08-05,Marburg express featured,Rudolphsplatz,no url provided
ADFC-Feierabend-Tour rund um Marburg,2026-08-05,Marburg express featured,Treffpunkt: Erwin-Piscator-Haus,no url provided
Die Welt der Grafik und Malerei,2026-08-06,Marburg express featured,Kunstwerkstatt Marburg e.V.,no url provided
Die Welt der Grafik und Malerei,2026-08-07,Marburg express featured,Kunstwerkstatt Marburg e.V.,no url provided
Die Altstadt mit Schlossbrunnen,2026-08-07,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Die Nachtwächtertour,2026-08-07,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Kulturrausch,2026-08-08,Marburg express featured,Alter Schlachthof Gießen,no url provided
Offene Bewegungsangebote: Rückenschule,2026-08-08,Marburg express featured,Georg-Gaßmann-Stadion,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-08-08,Marburg express featured,Bad Endbach,no url provided
Taufen unter freiem Himmel,2026-08-09,Marburg express featured,Waldschwimmbad Kirchvers,no url provided
Landsynagoge Roth,2026-08-09,Marburg express featured,Landsynagoge Roth,no url provided
Spieleabend: BrettvormKopf,2026-08-11,Marburg express featured,Cafe Trauma,no url provided
Die Kunstkoffer kommen!,2026-08-12,Marburg express featured,Rudolphsplatz,no url provided
SOEN &#8211; Reliance Tour | Progressive Metal,2026-08-12,Marburg express featured,KFZ,no url provided
Tänze der Völker &#8211; mit Tanzen um die Welt,2026-08-13,Marburg express featured,Begegnungszentrum,no url provided
Café Liesbeth mit Backwerkstatt,2026-08-14,Marburg express featured,Liesbeth&CO,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-08-14,Marburg express featured,Bad Endbach,no url provided
Die Nachtwächtertour,2026-08-14,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Tanz der Generationen,2026-08-15,Marburg express featured,Bürgerhaus Moischt,no url provided
Höfefest im Rahmen von 800 Jahre Bortshausen,2026-08-16,Marburg express featured,Bortshausen Bodenfeldstraße,no url provided
Taufen unter freiem Himmel,2026-08-16,Marburg express featured,Rund ums deutsche Eck,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-08-18,Marburg express featured,Bad Endbach,no url provided
Spieleabend: Command Tower,2026-08-18,Marburg express featured,Cafe Trauma,no url provided
Tanzen mit Christel Macik,2026-08-19,Marburg express featured,Begegnungszentrum,no url provided
Die Kunstkoffer kommen!,2026-08-19,Marburg express featured,Rudolphsplatz,no url provided
ADFC-Feierabend-Tour rund um Marburg,2026-08-19,Marburg express featured,Treffpunkt: Erwin-Piscator-Haus,no url provided
Critical Mass,2026-08-20,Marburg express featured,Firmaneiplatz,no url provided
Die Altstadt mit Schlossbrunnen,2026-08-21,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-08-22,Marburg express featured,Bad Endbach,no url provided
Das Marktweib Trude,2026-08-22,Marburg express featured,Treffpunkt: Heumarkt unter der Linde,no url provided
15 Jahre Markus Krebs &#8211; Das Beste aus 6 Live-Programmen,2026-08-22,Marburg express featured,Erwin-Piscator-Haus,no url provided
Taufen unter freiem Himmel,2026-08-23,Marburg express featured,Stauwehr Kernbach,no url provided
Landsynagoge Roth,2026-08-23,Marburg express featured,Landsynagoge Roth,no url provided
Uriah Heep,2026-08-25,Marburg express featured,Kloster Schiffenberg,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-08-26,Marburg express featured,Bad Endbach,no url provided
Die Kunstkoffer kommen!,2026-08-26,Marburg express featured,Rudolphsplatz,no url provided
Tänze der Völker &#8211; mit Tanzen um die Welt,2026-08-27,Marburg express featured,Begegnungszentrum,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-08-28,Marburg express featured,Bad Endbach,no url provided
Die Nachtwächtertour,2026-08-28,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Radtour zu Kirchen der Außenstadtsteile,2026-08-29,Marburg express featured,ehem. Feuerwehr,no url provided
Gießener Kultursommer 2026,2026-08-29,Marburg express featured,Kloster Schiffenberg,no url provided
Sommernachtstraum,2026-08-29,Marburg express featured,Daniels Café,no url provided
Die Rastlose Gräfin Barbara,2026-08-30,Marburg express featured,Treffpunkt: An der Schlossmauer,no url provided
WINCENT WEISS,2026-08-30,Marburg express featured,Kloster Schiffenberg,no url provided
Spieleabend: Command Tower,2026-09-01,Marburg express featured,Cafe Trauma,no url provided
ADFC-Feierabend-Tour rund um Marburg,2026-09-02,Marburg express featured,Treffpunkt: Erwin-Piscator-Haus,no url provided
Tanzen mit Christel Macik,2026-09-03,Marburg express featured,Begegnungszentrum,no url provided
Die Altstadt mit Schlossbrunnen,2026-09-04,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
„Einer von den Guten?“,2026-09-04,Marburg express featured,Erwin-Piscator-Haus,no url provided
Die Nachtwächtertour,2026-09-04,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Erzähl-Café zum Lebensmittel-Retten,2026-09-05,Marburg express featured,MaterialZentrum Marburg,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-09-05,Marburg express featured,Bad Endbach,no url provided
Das Marktweib Trude,2026-09-05,Marburg express featured,Treffpunkt: Heumarkt unter der Linde,no url provided
Dorffest Bad Endbach,2026-09-05,Marburg express featured,Kurpark Bad Endbach,no url provided
Liza Kos: INTRIGATION &#8211; Russischer Döner mit Kartoffelsalat,2026-09-05,Marburg express featured,KFZ,no url provided
Lars Eidinger liest und singt Brechts „Hauspostille“,2026-09-05,Marburg express featured,Erwin-Piscator-Haus,no url provided
Antik &#038; Trödel,2026-09-06,Marburg express featured,Messe Giessen,no url provided
Dorffest Bad Endbach,2026-09-06,Marburg express featured,Kurpark Bad Endbach,no url provided
Lindy Hop und Swingtanz,2026-09-07,Marburg express featured,Alte Mensa,no url provided
Spieleabend: BrettvormKopf,2026-09-08,Marburg express featured,Cafe Trauma,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-09-09,Marburg express featured,Bad Endbach,no url provided
Afterwork Oberstadt 2026,2026-09-10,Marburg express featured,Heumarkt,no url provided
Viola Bittl &#038; Hannah-Maria Hammari,2026-09-11,Marburg express featured,Marburger Kunstverein,no url provided
Jochen Malmsheimer,2026-09-11,Marburg express featured,KFZ,no url provided
foodsharing Café,2026-09-12,Marburg express featured,MaZe Marburg,no url provided
Offene Bewegungsangebote: Rückenschule,2026-09-12,Marburg express featured,Georg-Gaßmann-Stadion,no url provided
Annie Taylor + support,2026-09-12,Marburg express featured,KFZ,no url provided
Landsynagoge Roth,2026-09-13,Marburg express featured,Landsynagoge Roth,no url provided
Marburg bei Wein&#038;Brot,2026-09-15,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Spieleabend: Command Tower,2026-09-15,Marburg express featured,Cafe Trauma,no url provided
ADFC-Feierabend-Tour rund um Marburg,2026-09-16,Marburg express featured,Treffpunkt: Erwin-Piscator-Haus,no url provided
Thomas Zwerina: „Eine Fingerkuppe Freiheit“,2026-09-16,Marburg express featured,KFZ,no url provided
Tanzen mit Christel Macik,2026-09-17,Marburg express featured,Begegnungszentrum,no url provided
Critical Mass,2026-09-17,Marburg express featured,Firmaneiplatz,no url provided
SALAMANCA TANZT!,2026-09-17,Marburg express featured,Cafe Salamanca,no url provided
Tänze der Völker &#8211; mit Tanzen um die Welt,2026-09-17,Marburg express featured,Begegnungszentrum,no url provided
Café Liesbeth mit Backwerkstatt,2026-09-18,Marburg express featured,Liesbeth&CO,no url provided
Das Marburger Rathaus,2026-09-18,Marburg express featured,Rathaus,no url provided
Die Altstadt mit Schlossbrunnen,2026-09-18,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Sebastian 23 &#8211; Zusammenhaltestelle,2026-09-18,Marburg express featured,KFZ,no url provided
Die Nachtwächtertour,2026-09-18,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Tanz der Generationen,2026-09-19,Marburg express featured,Bürgerhaus Wehrda,no url provided
Singlewanderung,2026-09-20,Marburg express featured,Naturcoaching Hessen,no url provided
Tag der Backhäuser im Rahmen von 800 Jahre Bortshausen,2026-09-20,Marburg express featured,Bortshausen,no url provided
Weißwurstsause in der Genießerei / Oktoberfest,2026-09-20,Marburg express featured,Die Genießerei Wetter,no url provided
„ferment“,2026-09-20,Marburg express featured,Kunstturm Mücke,no url provided
Offene Bewegungsangebote: Waldbaden,2026-09-22,Marburg express featured,Grillplatz Runder Baum,no url provided
Spieleabend: BrettvormKopf,2026-09-22,Marburg express featured,Cafe Trauma,no url provided
Christina Brudereck,2026-09-23,Marburg express featured,Evangeliumshalle,no url provided
"LOK SUNSET: SUNDOWN DINNER MIT TAPAS, DRINKS &#038; CHILLOUT MUSIC",2026-09-25,Marburg express featured,Lokschuppen,no url provided
Anny Hartmann &#8211; Klima-Ballerina,2026-09-25,Marburg express featured,KFZ,no url provided
Die Nachtwächtertour,2026-09-25,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Die Rastlose Gräfin Barbara,2026-09-27,Marburg express featured,Treffpunkt: An der Schlossmauer,no url provided
Landsynagoge Roth,2026-09-27,Marburg express featured,Landsynagoge Roth,no url provided
Marburger Kammerorchester: Musikalische Landschaften,2026-09-27,Marburg express featured,Landgrafenschloss,no url provided
Kammerkonzert,2026-09-27,Marburg express featured,"Landgrafenschloss, Fürstensaal",no url provided
Schlager &#038; Spaß mit Andy Borg,2026-09-29,Marburg express featured,Stadthalle Stadtallendorf,no url provided
Spieleabend: Command Tower,2026-09-29,Marburg express featured,Cafe Trauma,no url provided
ADFC-Feierabend-Tour rund um Marburg,2026-09-30,Marburg express featured,Treffpunkt: Erwin-Piscator-Haus,no url provided
Tanzen mit Christel Macik,2026-10-01,Marburg express featured,Begegnungszentrum,no url provided
Paul Panzer,2026-10-01,Marburg express featured,Buderus Arena Wetzlar,no url provided
Tänze der Völker &#8211; mit Tanzen um die Welt,2026-10-01,Marburg express featured,Begegnungszentrum,no url provided
ROLAND JANKOWSKY,2026-10-01,Marburg express featured,Stadthalle Stadtallendorf,no url provided
Essbare heimische Wild- und Heilkräuter entdecken,2026-10-02,Marburg express featured,Bad Endbach,no url provided
Die Altstadt mit Schlossbrunnen,2026-10-02,Marburg express featured,Treffpunkt: Brunnen am Marktplatz,no url provided
Tina Teubner: Ohne dich war es immer so schön,2026-10-02,Marburg express featured,KFZ,no url provided
ROLAND JANKOWSKY,2026-10-02,Marburg express featured,Kongresshalle Gießen,no url provided
Das Marktweib Trude,2026-10-03,Marburg express featured,Treffpunkt: Heumarkt unter der Linde,no url provided
Antik &#038; Trödel,2026-10-04,Marburg express featured,Messe Giessen,no url provided
Basar der Pfundsfrauen,2026-10-04,Marburg express featured,Bürgerhaus Marbach,no url provided
Luther in Marburg,2026-10-04,Marburg express featured,Treffpunkt: Kornmarkt unter der Linde,no url provided
Lindy Hop und Swingtanz,2026-10-05,Marburg express featured,Alte Mensa,no url provided
