Date,Title,Time,URL
19.06.​2026,Sozial- und Schuldnerberatung Damaschkeweg,,https://www.bsf-richtsberg.de/veranstaltungen/2783156/2026/06/19/sozial-und-schuldnerberatung-damaschkeweg.html
19.06.​2026,Afghanische Frauengruppe,,https://www.bsf-richtsberg.de/veranstaltungen/2782993/2026/06/19/afghanische-frauengruppe.html
22.06.​2026,Sozial- und Schuldnerberatung Damaschkeweg,,https://www.bsf-richtsberg.de/veranstaltungen/2783148/2026/06/22/sozial-und-schuldnerberatung-damaschkeweg.html
22.06.​2026,Offenes Büro im Familiennetzwerk,,https://www.bsf-richtsberg.de/veranstaltungen/2870266/2026/06/22/offenes-büro-im-familiennetzwerk.html
22.06.​2026,Babycafé,,https://www.bsf-richtsberg.de/veranstaltungen/2782902/2026/06/22/babycafé.html
22.06.​2026,Offenes Büro im Familiennetzwerk,,https://www.bsf-richtsberg.de/veranstaltungen/2870269/2026/06/22/offenes-büro-im-familiennetzwerk.html
22.06.​2026,Eltern - Kind - Turnen,,https://www.bsf-richtsberg.de/veranstaltungen/2833912/2026/06/22/eltern-kind-turnen.html
22.06.​2026,Lernwerkstatt der VHS im Familiennetzwerk,,https://www.bsf-richtsberg.de/veranstaltungen/2870255/2026/06/22/lernwerkstatt-der-vhs-im-familiennetzwerk.html
23.06.​2026,Offenes Büro im Familiennetzwerk,,https://www.bsf-richtsberg.de/veranstaltungen/2870270/2026/06/23/offenes-büro-im-familiennetzwerk.html
23.06.​2026,Bipa Elterncafé: für Eltern mit Kindern von 1-3 Jahren,,https://www.bsf-richtsberg.de/veranstaltungen/2782907/2026/06/23/bipa-elterncafé-für-eltern-mit-kindern-von-1-3-jahren.html
23.06.​2026,Senior:innen Nachmittag,,https://www.bsf-richtsberg.de/veranstaltungen/2766698/2026/06/23/senior-innen-nachmittag.html
23.06.​2026,Bipa Gruppe für überwiegend afghanisch sprechende Eltern,,https://www.bsf-richtsberg.de/veranstaltungen/2870156/2026/06/23/bipa-gruppe-für-überwiegend-afghanisch-sprechende-eltern.html
24.06.​2026,Sozial- und Schuldnerberatung Treffpunkt,,https://www.bsf-richtsberg.de/veranstaltungen/2783139/2026/06/24/sozial-und-schuldnerberatung-treffpunkt.html
24.06.​2026,Männerberatung,,https://www.bsf-richtsberg.de/veranstaltungen/2783881/2026/06/24/männerberatung.html
24.06.​2026,Frauencafé,,https://www.bsf-richtsberg.de/veranstaltungen/2782982/2026/06/24/frauencafé.html
25.06.​2026,Sozial- und Schuldnerberatung Damaschkeweg,,https://www.bsf-richtsberg.de/veranstaltungen/2783155/2026/06/25/sozial-und-schuldnerberatung-damaschkeweg.html
26.06.​2026,Sozial- und Schuldnerberatung Damaschkeweg,,https://www.bsf-richtsberg.de/veranstaltungen/2783156/2026/06/26/sozial-und-schuldnerberatung-damaschkeweg.html
26.06.​2026,Afghanische Frauengruppe,,https://www.bsf-richtsberg.de/veranstaltungen/2782993/2026/06/26/afghanische-frauengruppe.html
29.06.​2026,Sozial- und Schuldnerberatung Damaschkeweg,,https://www.bsf-richtsberg.de/veranstaltungen/2783148/2026/06/29/sozial-und-schuldnerberatung-damaschkeweg.html
29.06.​2026,Sommerferienstart am Richtsberg - Angebote für Jung und Alt,,https://www.bsf-richtsberg.de/veranstaltungen/2918165/2026/06/29/sommerferienstart-am-richtsberg-angebote-für-jung-und-alt.html
30.06.​2026bis09.07.​2026,Sommerferienprogramm für Kinder von 6 bis 9 Jahren am Richtsberg,,https://www.bsf-richtsberg.de/veranstaltungen/2918178/2026/06/30/sommerferienprogramm-für-kinder-von-6-bis-9-jahren-am-richtsberg.html
30.06.​2026,Bipa Elterncafé: für Eltern mit Kindern von 1-3 Jahren,,https://www.bsf-richtsberg.de/veranstaltungen/2782907/2026/06/30/bipa-elterncafé-für-eltern-mit-kindern-von-1-3-jahren.html
30.06.​2026,Bipa Gruppe für überwiegend afghanisch sprechende Eltern,,https://www.bsf-richtsberg.de/veranstaltungen/2870156/2026/06/30/bipa-gruppe-für-überwiegend-afghanisch-sprechende-eltern.html
01.07.​2026,Immer an der Lahn entlang - Sommerferien für Erwachsene 1. Tag,,https://www.bsf-richtsberg.de/veranstaltungen/2914286/2026/07/01/immer-an-der-lahn-entlang-sommerferien-für-erwachsene-1.-tag.html
01.07.​2026,Sozial- und Schuldnerberatung Treffpunkt,,https://www.bsf-richtsberg.de/veranstaltungen/2783139/2026/07/01/sozial-und-schuldnerberatung-treffpunkt.html
01.07.​2026,Männerberatung,,https://www.bsf-richtsberg.de/veranstaltungen/2783881/2026/07/01/männerberatung.html
01.07.​2026,Frauencafé,,https://www.bsf-richtsberg.de/veranstaltungen/2782982/2026/07/01/frauencafé.html
02.07.​2026,Immer an der Lahn entlang - Sommerferien für Erwachsene 2. Tag,,https://www.bsf-richtsberg.de/veranstaltungen/2914452/2026/07/02/immer-an-der-lahn-entlang-sommerferien-für-erwachsene-2.-tag.html
02.07.​2026,"Offenes Café im Familiennetzwerk, Am Richtsberg 68",,https://www.bsf-richtsberg.de/veranstaltungen/2836095/2026/07/02/offenes-café-im-familiennetzwerk-am-richtsberg-68.html
02.07.​2026,Sozial- und Schuldnerberatung Damaschkeweg,,https://www.bsf-richtsberg.de/veranstaltungen/2783155/2026/07/02/sozial-und-schuldnerberatung-damaschkeweg.html
03.07.​2026,Sozial- und Schuldnerberatung Damaschkeweg,,https://www.bsf-richtsberg.de/veranstaltungen/2783156/2026/07/03/sozial-und-schuldnerberatung-damaschkeweg.html
03.07.​2026,Afghanische Frauengruppe,,https://www.bsf-richtsberg.de/veranstaltungen/2782993/2026/07/03/afghanische-frauengruppe.html
06.07.​2026,Sozial- und Schuldnerberatung Damaschkeweg,,https://www.bsf-richtsberg.de/veranstaltungen/2783148/2026/07/06/sozial-und-schuldnerberatung-damaschkeweg.html
06.07.​2026,Offenes Büro im Familiennetzwerk,,https://www.bsf-richtsberg.de/veranstaltungen/2870266/2026/07/06/offenes-büro-im-familiennetzwerk.html
06.07.​2026,Babycafé,,https://www.bsf-richtsberg.de/veranstaltungen/2782902/2026/07/06/babycafé.html
06.07.​2026,Offenes Büro im Familiennetzwerk,,https://www.bsf-richtsberg.de/veranstaltungen/2870269/2026/07/06/offenes-büro-im-familiennetzwerk.html
06.07.​2026,Lernwerkstatt der VHS im Familiennetzwerk,,https://www.bsf-richtsberg.de/veranstaltungen/2870255/2026/07/06/lernwerkstatt-der-vhs-im-familiennetzwerk.html
07.07.​2026,Offenes Büro im Familiennetzwerk,,https://www.bsf-richtsberg.de/veranstaltungen/2870270/2026/07/07/offenes-büro-im-familiennetzwerk.html
07.07.​2026,Bipa Elterncafé: für Eltern mit Kindern von 1-3 Jahren,,https://www.bsf-richtsberg.de/veranstaltungen/2782907/2026/07/07/bipa-elterncafé-für-eltern-mit-kindern-von-1-3-jahren.html
07.07.​2026,Senior:innen Nachmittag,,https://www.bsf-richtsberg.de/veranstaltungen/2766698/2026/07/07/senior-innen-nachmittag.html
07.07.​2026,Bipa Gruppe für überwiegend afghanisch sprechende Eltern,,https://www.bsf-richtsberg.de/veranstaltungen/2870156/2026/07/07/bipa-gruppe-für-überwiegend-afghanisch-sprechende-eltern.html
08.07.​2026,Frauencafé,,https://www.bsf-richtsberg.de/veranstaltungen/2782982/2026/07/08/frauencafé.html
